ballx,bally,velx,vely,paddley
637,23,-8,-8,206
629,31,-8,8,206
621,39,-8,8,206
613,47,-8,8,206
605,55,-8,8,206
597,63,-8,8,206
589,71,-8,8,206
581,79,-8,8,206
573,87,-8,8,212
565,95,-8,8,218
557,103,-8,8,224
549,111,-8,8,230
541,119,-8,8,230
533,127,-8,8,230
525,135,-8,8,230
517,143,-8,8,230
509,151,-8,8,230
501,159,-8,8,230
493,167,-8,8,230
485,175,-8,8,230
477,183,-8,8,230
469,191,-8,8,230
461,199,-8,8,230
453,207,-8,8,230
445,215,-8,8,230
437,223,-8,8,230
429,231,-8,8,230
421,239,-8,8,230
413,247,-8,8,230
405,255,-8,8,224
397,263,-8,8,218
389,271,-8,8,212
381,279,-8,8,206
373,287,-8,8,200
365,295,-8,8,194
357,303,-8,8,194
349,311,-8,8,194
341,319,-8,8,194
333,327,-8,8,194
325,335,-8,8,194
317,343,-8,8,194
309,351,-8,8,194
301,359,-8,8,194
293,367,-8,8,188
285,375,-8,8,182
277,367,-8,-8,176
269,359,-8,-8,170
261,351,-8,-8,164
253,343,-8,-8,158
245,335,-8,-8,152
237,327,-8,-8,146
229,319,-8,-8,140
221,311,-8,-8,140
213,303,-8,-8,140
205,295,-8,-8,140
197,287,-8,-8,140
189,279,-8,-8,140
181,271,-8,-8,140
173,263,-8,-8,140
165,255,-8,-8,140
157,247,-8,-8,140
149,239,-8,-8,134
141,231,-8,-8,128
133,223,-8,-8,122
125,215,-8,-8,116
117,207,-8,-8,110
109,199,-8,-8,104
101,191,-8,-8,98
93,183,-8,-8,92
85,175,-8,-8,92
77,167,-8,-8,92
69,159,-8,-8,92
61,151,-8,-8,92
53,143,-8,-8,92
45,135,-8,-8,92
53,127,8,-8,86
61,119,8,-8,80
69,111,8,-8,74
77,103,8,-8,68
85,95,8,-8,62
93,87,8,-8,56
101,79,8,-8,56
109,71,8,-8,56
117,63,8,-8,56
125,55,8,-8,56
133,47,8,-8,56
141,39,8,-8,56
149,31,8,-8,56
157,23,8,-8,56
165,31,8,8,56
173,39,8,8,56
181,47,8,8,56
189,55,8,8,56
197,63,8,8,56
205,71,8,8,56
213,79,8,8,56
221,87,8,8,56
229,95,8,8,56
237,103,8,8,56
245,111,8,8,56
253,119,8,8,56
261,127,8,8,56
269,135,8,8,56
277,143,8,8,56
285,151,8,8,56
293,159,8,8,56
301,167,8,8,56
309,175,8,8,56
317,183,8,8,56
325,191,8,8,56
333,199,8,8,56
341,207,8,8,56
349,215,8,8,56
357,223,8,8,56
365,231,8,8,56
373,239,8,8,56
381,247,8,8,56
389,255,8,8,56
397,263,8,8,56
405,271,8,8,56
413,279,8,8,56
421,287,8,8,56
429,295,8,8,56
437,303,8,8,56
445,311,8,8,56
453,319,8,8,56
461,327,8,8,56
469,335,8,8,56
477,343,8,8,56
485,351,8,8,56
493,359,8,8,56
501,367,8,8,56
509,375,8,8,56
517,367,8,-8,56
525,359,8,-8,56
533,351,8,-8,56
541,343,8,-8,56
549,335,8,-8,56
557,327,8,-8,56
565,319,8,-8,56
573,311,8,-8,56
581,303,8,-8,56
589,295,8,-8,56
597,287,8,-8,56
605,279,8,-8,56
613,271,8,-8,56
621,263,8,-8,56
629,255,8,-8,56
637,247,8,-8,56
645,239,8,-8,56
653,231,8,-8,56
661,223,8,-8,56
653,215,-8,-8,56
645,207,-8,-8,56
637,199,-8,-8,56
629,191,-8,-8,56
621,183,-8,-8,56
613,175,-8,-8,56
605,167,-8,-8,56
597,159,-8,-8,56
589,151,-8,-8,56
581,143,-8,-8,56
573,135,-8,-8,56
565,127,-8,-8,56
557,119,-8,-8,56
549,111,-8,-8,56
541,103,-8,-8,56
533,95,-8,-8,56
525,87,-8,-8,56
517,79,-8,-8,62
509,71,-8,-8,68
501,63,-8,-8,74
493,55,-8,-8,80
485,47,-8,-8,86
477,39,-8,-8,92
469,31,-8,-8,92
461,23,-8,-8,92
453,31,-8,8,92
445,39,-8,8,92
437,47,-8,8,92
429,55,-8,8,92
421,63,-8,8,92
413,71,-8,8,92
405,79,-8,8,92
397,87,-8,8,92
389,95,-8,8,92
381,103,-8,8,92
373,111,-8,8,92
365,119,-8,8,92
357,127,-8,8,92
349,135,-8,8,92
341,143,-8,8,92
333,151,-8,8,98
325,159,-8,8,104
317,167,-8,8,110
309,175,-8,8,116
301,183,-8,8,122
293,191,-8,8,128
285,199,-8,8,134
277,207,-8,8,140
269,215,-8,8,146
261,223,-8,8,152
253,231,-8,8,158
245,239,-8,8,164
237,247,-8,8,170
229,255,-8,8,176
221,263,-8,8,182
213,271,-8,8,188
205,279,-8,8,194
197,287,-8,8,200
189,295,-8,8,206
181,303,-8,8,212
173,311,-8,8,218
165,319,-8,8,224
157,327,-8,8,230
149,335,-8,8,236
141,343,-8,8,242
133,351,-8,8,248
125,359,-8,8,254
117,367,-8,8,260
109,375,-8,8,266
101,367,-8,-8,272
93,359,-8,-8,278
85,351,-8,-8,284
77,343,-8,-8,286
69,335,-8,-8,286
61,327,-8,-8,280
53,319,-8,-8,280
45,311,-8,-8,274
53,303,8,-8,268
61,295,8,-8,262
69,287,8,-8,256
77,279,8,-8,250
85,271,8,-8,244
93,263,8,-8,238
101,255,8,-8,232
109,247,8,-8,226
117,239,8,-8,220
125,231,8,-8,214
133,223,8,-8,208
141,215,8,-8,202
149,207,8,-8,196
157,199,8,-8,190
165,191,8,-8,184
173,183,8,-8,178
181,175,8,-8,172
189,167,8,-8,166
197,159,8,-8,160
205,151,8,-8,154
213,143,8,-8,148
221,135,8,-8,142
229,127,8,-8,142
237,119,8,-8,142
245,111,8,-8,142
253,103,8,-8,142
261,95,8,-8,142
269,87,8,-8,142
277,79,8,-8,142
285,71,8,-8,142
293,63,8,-8,142
301,55,8,-8,142
309,47,8,-8,142
317,39,8,-8,142
325,31,8,-8,142
333,23,8,-8,142
341,31,8,8,142
349,39,8,8,142
357,47,8,8,142
365,55,8,8,142
373,63,8,8,142
381,71,8,8,142
389,79,8,8,142
397,87,8,8,142
405,95,8,8,142
413,103,8,8,142
421,111,8,8,142
429,119,8,8,142
437,127,8,8,142
445,135,8,8,142
453,143,8,8,142
461,151,8,8,142
469,159,8,8,142
477,167,8,8,142
485,175,8,8,142
493,183,8,8,142
501,191,8,8,142
509,199,8,8,142
517,207,8,8,142
525,215,8,8,142
533,223,8,8,142
541,231,8,8,142
549,239,8,8,142
557,247,8,8,142
565,255,8,8,142
573,263,8,8,142
581,271,8,8,142
589,279,8,8,142
597,287,8,8,142
605,295,8,8,142
613,303,8,8,142
621,311,8,8,142
629,319,8,8,142
637,327,8,8,142
645,335,8,8,142
653,343,8,8,142
661,351,8,8,142
653,359,-8,8,142
645,367,-8,8,142
637,375,-8,8,142
629,367,-8,-8,142
621,359,-8,-8,142
613,351,-8,-8,142
605,343,-8,-8,142
597,335,-8,-8,142
589,327,-8,-8,142
581,319,-8,-8,142
573,311,-8,-8,142
565,303,-8,-8,142
557,295,-8,-8,142
549,287,-8,-8,142
541,279,-8,-8,142
533,271,-8,-8,142
525,263,-8,-8,142
517,255,-8,-8,142
509,247,-8,-8,142
501,239,-8,-8,142
493,231,-8,-8,142
485,223,-8,-8,142
477,215,-8,-8,142
469,207,-8,-8,142
461,199,-8,-8,142
453,191,-8,-8,142
445,183,-8,-8,142
437,175,-8,-8,142
429,167,-8,-8,142
421,159,-8,-8,142
413,151,-8,-8,142
405,143,-8,-8,142
397,135,-8,-8,142
389,127,-8,-8,142
381,119,-8,-8,142
373,111,-8,-8,142
365,103,-8,-8,136
357,95,-8,-8,130
349,87,-8,-8,124
341,79,-8,-8,118
333,71,-8,-8,112
325,63,-8,-8,106
317,55,-8,-8,100
309,47,-8,-8,100
301,39,-8,-8,100
293,31,-8,-8,100
285,23,-8,-8,100
277,31,-8,8,100
269,39,-8,8,100
261,47,-8,8,100
253,55,-8,8,100
245,63,-8,8,100
237,71,-8,8,100
229,79,-8,8,100
221,87,-8,8,100
213,95,-8,8,106
205,103,-8,8,112
197,111,-8,8,118
189,119,-8,8,124
181,127,-8,8,130
173,135,-8,8,136
165,143,-8,8,142
157,151,-8,8,148
149,159,-8,8,154
141,167,-8,8,160
133,175,-8,8,166
125,183,-8,8,172
117,191,-8,8,178
109,199,-8,8,184
101,207,-8,8,190
93,215,-8,8,196
85,223,-8,8,202
77,231,-8,8,208
69,239,-8,8,214
61,247,-8,8,220
53,255,-8,8,226
45,263,-8,8,232
53,271,8,8,238
61,279,8,8,244
69,287,8,8,250
77,295,8,8,256
85,303,8,8,262
93,311,8,8,268
101,319,8,8,274
109,327,8,8,280
117,335,8,8,286
125,343,8,8,286
133,351,8,8,280
141,359,8,8,280
149,367,8,8,280
157,375,8,8,280
165,367,8,-8,280
173,359,8,-8,280
181,351,8,-8,280
189,343,8,-8,274
197,335,8,-8,268
205,327,8,-8,262
213,319,8,-8,256
221,311,8,-8,250
229,303,8,-8,244
237,295,8,-8,238
245,287,8,-8,232
253,279,8,-8,226
261,271,8,-8,220
269,263,8,-8,214
277,255,8,-8,208
285,247,8,-8,202
293,239,8,-8,196
301,231,8,-8,190
309,223,8,-8,184
317,215,8,-8,178
325,207,8,-8,172
333,199,8,-8,166
341,191,8,-8,160
349,183,8,-8,154
357,175,8,-8,148
365,167,8,-8,142
373,159,8,-8,136
381,151,8,-8,130
389,143,8,-8,124
397,135,8,-8,124
405,127,8,-8,124
413,119,8,-8,124
421,111,8,-8,124
429,103,8,-8,124
437,95,8,-8,124
445,87,8,-8,124
453,79,8,-8,124
461,71,8,-8,124
469,63,8,-8,124
477,55,8,-8,124
485,47,8,-8,124
493,39,8,-8,124
501,31,8,-8,124
509,23,8,-8,124
517,31,8,8,124
525,39,8,8,124
533,47,8,8,124
541,55,8,8,124
549,63,8,8,124
557,71,8,8,124
565,79,8,8,124
573,87,8,8,124
581,95,8,8,124
589,103,8,8,124
597,111,8,8,124
605,119,8,8,124
613,127,8,8,124
621,135,8,8,124
629,143,8,8,124
637,151,8,8,124
645,159,8,8,124
653,167,8,8,124
661,175,8,8,124
653,183,-8,8,124
645,191,-8,8,124
637,199,-8,8,124
629,207,-8,8,124
621,215,-8,8,124
613,223,-8,8,124
605,231,-8,8,124
597,239,-8,8,124
589,247,-8,8,124
581,255,-8,8,124
573,263,-8,8,124
565,271,-8,8,124
557,279,-8,8,124
549,287,-8,8,124
541,295,-8,8,130
533,303,-8,8,136
525,311,-8,8,142
517,319,-8,8,148
509,327,-8,8,154
501,335,-8,8,160
493,343,-8,8,166
485,351,-8,8,166
477,359,-8,8,166
469,367,-8,8,166
461,375,-8,8,166
453,367,-8,-8,166
445,359,-8,-8,166
437,351,-8,-8,166
429,343,-8,-8,166
421,335,-8,-8,166
413,327,-8,-8,166
405,319,-8,-8,166
397,311,-8,-8,166
389,303,-8,-8,166
381,295,-8,-8,166
373,287,-8,-8,160
365,279,-8,-8,154
357,271,-8,-8,148
349,263,-8,-8,142
341,255,-8,-8,136
333,247,-8,-8,130
325,239,-8,-8,124
317,231,-8,-8,118
309,223,-8,-8,112
301,215,-8,-8,106
293,207,-8,-8,100
285,199,-8,-8,94
277,191,-8,-8,88
269,183,-8,-8,82
261,175,-8,-8,82
253,167,-8,-8,82
245,159,-8,-8,82
237,151,-8,-8,82
229,143,-8,-8,82
221,135,-8,-8,82
213,127,-8,-8,76
205,119,-8,-8,70
197,111,-8,-8,64
189,103,-8,-8,58
181,95,-8,-8,52
173,87,-8,-8,46
165,79,-8,-8,40
157,71,-8,-8,34
149,63,-8,-8,28
141,55,-8,-8,22
133,47,-8,-8,16
125,39,-8,-8,14
117,31,-8,-8,14
109,23,-8,-8,20
101,31,-8,8,20
93,39,-8,8,20
85,47,-8,8,20
77,55,-8,8,20
69,63,-8,8,20
61,71,-8,8,26
53,79,-8,8,32
45,87,-8,8,38
53,95,8,8,44
61,103,8,8,50
69,111,8,8,56
77,119,8,8,62
85,127,8,8,68
93,135,8,8,74
101,143,8,8,80
109,151,8,8,86
117,159,8,8,92
125,167,8,8,98
133,175,8,8,104
141,183,8,8,110
149,191,8,8,116
157,199,8,8,122
165,207,8,8,128
173,215,8,8,134
181,223,8,8,140
189,231,8,8,146
197,239,8,8,152
205,247,8,8,158
213,255,8,8,164
221,263,8,8,170
229,271,8,8,170
237,279,8,8,170
245,287,8,8,170
253,295,8,8,170
261,303,8,8,170
269,311,8,8,170
277,319,8,8,170
285,327,8,8,170
293,335,8,8,170
301,343,8,8,170
309,351,8,8,170
317,359,8,8,170
325,367,8,8,170
333,375,8,8,170
341,367,8,-8,170
349,359,8,-8,170
357,351,8,-8,170
365,343,8,-8,170
373,335,8,-8,170
381,327,8,-8,170
389,319,8,-8,170
397,311,8,-8,170
405,303,8,-8,170
413,295,8,-8,170
421,287,8,-8,170
429,279,8,-8,170
437,271,8,-8,170
445,263,8,-8,170
453,255,8,-8,170
461,247,8,-8,170
469,239,8,-8,170
477,231,8,-8,170
485,223,8,-8,170
493,215,8,-8,170
501,207,8,-8,170
509,199,8,-8,170
517,191,8,-8,170
525,183,8,-8,170
533,175,8,-8,170
541,167,8,-8,170
549,159,8,-8,170
557,151,8,-8,170
565,143,8,-8,170
573,135,8,-8,170
581,127,8,-8,170
589,119,8,-8,170
597,111,8,-8,170
605,103,8,-8,170
613,95,8,-8,170
621,87,8,-8,170
629,79,8,-8,170
637,71,8,-8,170
645,63,8,-8,170
653,55,8,-8,170
661,47,8,-8,170
653,39,-8,-8,170
645,31,-8,-8,170
637,23,-8,-8,170
629,31,-8,8,170
621,39,-8,8,170
613,47,-8,8,170
605,55,-8,8,170
597,63,-8,8,170
589,71,-8,8,170
581,79,-8,8,170
573,87,-8,8,170
565,95,-8,8,170
557,103,-8,8,170
549,111,-8,8,170
541,119,-8,8,170
533,127,-8,8,170
525,135,-8,8,170
517,143,-8,8,170
509,151,-8,8,170
501,159,-8,8,170
493,167,-8,8,170
485,175,-8,8,170
477,183,-8,8,170
469,191,-8,8,170
461,199,-8,8,170
453,207,-8,8,170
445,215,-8,8,170
437,223,-8,8,170
429,231,-8,8,170
421,239,-8,8,170
413,247,-8,8,170
405,255,-8,8,170
397,263,-8,8,170
389,271,-8,8,170
381,279,-8,8,170
373,287,-8,8,170
365,295,-8,8,170
357,303,-8,8,170
349,311,-8,8,170
341,319,-8,8,170
333,327,-8,8,170
325,335,-8,8,170
317,343,-8,8,170
309,351,-8,8,170
301,359,-8,8,170
293,367,-8,8,170
285,375,-8,8,170
277,367,-8,-8,170
269,359,-8,-8,170
261,351,-8,-8,170
253,343,-8,-8,170
245,335,-8,-8,170
237,327,-8,-8,170
229,319,-8,-8,170
221,311,-8,-8,170
213,303,-8,-8,170
205,295,-8,-8,164
197,287,-8,-8,158
189,279,-8,-8,152
181,271,-8,-8,146
173,263,-8,-8,140
165,255,-8,-8,140
157,247,-8,-8,140
149,239,-8,-8,140
141,231,-8,-8,140
133,223,-8,-8,140
125,215,-8,-8,140
117,207,-8,-8,140
109,199,-8,-8,134
101,191,-8,-8,128
93,183,-8,-8,122
85,175,-8,-8,116
77,167,-8,-8,110
69,159,-8,-8,104
61,151,-8,-8,98
53,143,-8,-8,92
45,135,-8,-8,86
53,127,8,-8,80
61,119,8,-8,74
69,111,8,-8,68
77,103,8,-8,62
85,95,8,-8,62
93,87,8,-8,62
101,79,8,-8,62
109,71,8,-8,62
117,63,8,-8,62
125,55,8,-8,62
133,47,8,-8,62
141,39,8,-8,62
149,31,8,-8,62
157,23,8,-8,62
165,31,8,8,62
173,39,8,8,62
181,47,8,8,62
189,55,8,8,62
197,63,8,8,62
205,71,8,8,62
213,79,8,8,62
221,87,8,8,62
229,95,8,8,62
237,103,8,8,62
245,111,8,8,62
253,119,8,8,62
261,127,8,8,62
269,135,8,8,62
277,143,8,8,62
285,151,8,8,62
293,159,8,8,62
301,167,8,8,62
309,175,8,8,62
317,183,8,8,62
325,191,8,8,62
333,199,8,8,62
341,207,8,8,62
349,215,8,8,62
357,223,8,8,62
365,231,8,8,62
373,239,8,8,62
381,247,8,8,62
389,255,8,8,62
397,263,8,8,62
405,271,8,8,62
413,279,8,8,62
421,287,8,8,62
429,295,8,8,62
437,303,8,8,62
445,311,8,8,62
453,319,8,8,62
461,327,8,8,62
469,335,8,8,62
477,343,8,8,62
485,351,8,8,62
493,359,8,8,62
501,367,8,8,62
509,375,8,8,62
517,367,8,-8,62
525,359,8,-8,62
533,351,8,-8,62
541,343,8,-8,62
549,335,8,-8,62
557,327,8,-8,62
565,319,8,-8,62
573,311,8,-8,62
581,303,8,-8,62
589,295,8,-8,62
597,287,8,-8,62
605,279,8,-8,62
613,271,8,-8,62
621,263,8,-8,62
629,255,8,-8,62
637,247,8,-8,62
645,239,8,-8,62
653,231,8,-8,62
661,223,8,-8,62
653,215,-8,-8,62
645,207,-8,-8,62
637,199,-8,-8,62
629,191,-8,-8,62
621,183,-8,-8,62
613,175,-8,-8,62
605,167,-8,-8,62
597,159,-8,-8,62
589,151,-8,-8,62
581,143,-8,-8,62
573,135,-8,-8,62
565,127,-8,-8,62
557,119,-8,-8,62
549,111,-8,-8,62
541,103,-8,-8,62
533,95,-8,-8,62
525,87,-8,-8,62
517,79,-8,-8,62
509,71,-8,-8,62
501,63,-8,-8,62
493,55,-8,-8,62
485,47,-8,-8,62
477,39,-8,-8,62
469,31,-8,-8,62
461,23,-8,-8,68
453,31,-8,8,74
445,39,-8,8,80
437,47,-8,8,86
429,55,-8,8,92
421,63,-8,8,98
413,71,-8,8,104
405,79,-8,8,110
397,87,-8,8,116
389,95,-8,8,122
381,103,-8,8,128
373,111,-8,8,134
365,119,-8,8,140
357,127,-8,8,146
349,135,-8,8,152
341,143,-8,8,158
333,151,-8,8,164
325,159,-8,8,170
317,167,-8,8,176
309,175,-8,8,182
301,183,-8,8,188
293,191,-8,8,194
285,199,-8,8,200
277,207,-8,8,206
269,215,-8,8,212
261,223,-8,8,218
253,231,-8,8,224
245,239,-8,8,230
237,247,-8,8,236
229,255,-8,8,242
221,263,-8,8,248
213,271,-8,8,254
205,279,-8,8,260
197,287,-8,8,260
189,295,-8,8,260
181,303,-8,8,260
173,311,-8,8,260
165,319,-8,8,260
157,327,-8,8,260
149,335,-8,8,260
141,343,-8,8,260
133,351,-8,8,260
125,359,-8,8,260
117,367,-8,8,260
109,375,-8,8,260
101,367,-8,-8,260
93,359,-8,-8,260
85,351,-8,-8,260
77,343,-8,-8,254
69,335,-8,-8,248
61,327,-8,-8,242
53,319,-8,-8,236
45,311,-8,-8,230
53,303,8,-8,230
61,295,8,-8,230
69,287,8,-8,230
77,279,8,-8,230
85,271,8,-8,230
93,263,8,-8,230
101,255,8,-8,230
109,247,8,-8,230
117,239,8,-8,230
125,231,8,-8,230
133,223,8,-8,230
141,215,8,-8,230
149,207,8,-8,230
157,199,8,-8,230
165,191,8,-8,230
173,183,8,-8,230
181,175,8,-8,230
189,167,8,-8,230
197,159,8,-8,224
205,151,8,-8,218
213,143,8,-8,212
221,135,8,-8,206
229,127,8,-8,200
237,119,8,-8,194
245,111,8,-8,188
253,103,8,-8,188
261,95,8,-8,188
269,87,8,-8,188
277,79,8,-8,188
285,71,8,-8,188
293,63,8,-8,188
301,55,8,-8,188
309,47,8,-8,188
317,39,8,-8,188
325,31,8,-8,188
333,23,8,-8,188
341,31,8,8,188
349,39,8,8,188
357,47,8,8,188
365,55,8,8,188
373,63,8,8,188
381,71,8,8,188
389,79,8,8,188
397,87,8,8,188
405,95,8,8,188
413,103,8,8,188
421,111,8,8,188
429,119,8,8,188
437,127,8,8,188
445,135,8,8,188
453,143,8,8,188
461,151,8,8,188
469,159,8,8,188
477,167,8,8,188
485,175,8,8,188
493,183,8,8,188
501,191,8,8,188
509,199,8,8,188
517,207,8,8,188
525,215,8,8,188
533,223,8,8,188
541,231,8,8,188
549,239,8,8,188
557,247,8,8,188
565,255,8,8,188
573,263,8,8,188
581,271,8,8,188
589,279,8,8,188
597,287,8,8,188
605,295,8,8,188
613,303,8,8,188
621,311,8,8,188
629,319,8,8,188
637,327,8,8,188
645,335,8,8,188
653,343,8,8,188
661,351,8,8,188
653,359,-8,8,188
645,367,-8,8,188
637,375,-8,8,188
629,367,-8,-8,188
621,359,-8,-8,188
613,351,-8,-8,188
605,343,-8,-8,188
597,335,-8,-8,188
589,327,-8,-8,188
581,319,-8,-8,188
573,311,-8,-8,188
565,303,-8,-8,188
557,295,-8,-8,188
549,287,-8,-8,188
541,279,-8,-8,188
533,271,-8,-8,188
525,263,-8,-8,182
517,255,-8,-8,176
509,247,-8,-8,170
501,239,-8,-8,164
493,231,-8,-8,158
485,223,-8,-8,152
477,215,-8,-8,146
469,207,-8,-8,140
461,199,-8,-8,140
453,191,-8,-8,140
445,183,-8,-8,140
437,175,-8,-8,140
429,167,-8,-8,140
421,159,-8,-8,140
413,151,-8,-8,140
405,143,-8,-8,140
397,135,-8,-8,140
389,127,-8,-8,140
381,119,-8,-8,140
373,111,-8,-8,140
365,103,-8,-8,140
357,95,-8,-8,140
349,87,-8,-8,140
341,79,-8,-8,140
333,71,-8,-8,140
325,63,-8,-8,140
317,55,-8,-8,140
309,47,-8,-8,140
301,39,-8,-8,140
293,31,-8,-8,140
285,23,-8,-8,140
277,31,-8,8,140
269,39,-8,8,140
261,47,-8,8,140
253,55,-8,8,140
245,63,-8,8,140
237,71,-8,8,140
229,79,-8,8,140
221,87,-8,8,140
213,95,-8,8,140
205,103,-8,8,140
197,111,-8,8,140
189,119,-8,8,140
181,127,-8,8,146
173,135,-8,8,152
165,143,-8,8,158
157,151,-8,8,164
149,159,-8,8,170
141,167,-8,8,176
133,175,-8,8,182
125,183,-8,8,188
117,191,-8,8,194
109,199,-8,8,200
101,207,-8,8,206
93,215,-8,8,212
85,223,-8,8,218
77,231,-8,8,224
69,239,-8,8,230
61,247,-8,8,236
53,255,-8,8,242
45,263,-8,8,242
53,271,8,8,242
61,279,8,8,242
69,287,8,8,242
77,295,8,8,242
85,303,8,8,242
93,311,8,8,242
101,319,8,8,242
109,327,8,8,242
117,335,8,8,236
125,343,8,8,230
133,351,8,8,224
141,359,8,8,218
149,367,8,8,212
157,375,8,8,206
165,367,8,-8,200
173,359,8,-8,194
181,351,8,-8,188
189,343,8,-8,182
197,335,8,-8,176
205,327,8,-8,176
213,319,8,-8,176
221,311,8,-8,176
229,303,8,-8,176
237,295,8,-8,176
245,287,8,-8,176
253,279,8,-8,176
261,271,8,-8,176
269,263,8,-8,176
277,255,8,-8,176
285,247,8,-8,176
293,239,8,-8,176
301,231,8,-8,176
309,223,8,-8,176
317,215,8,-8,176
325,207,8,-8,176
333,199,8,-8,176
341,191,8,-8,176
349,183,8,-8,176
357,175,8,-8,176
365,167,8,-8,176
373,159,8,-8,176
381,151,8,-8,176
389,143,8,-8,176
397,135,8,-8,176
405,127,8,-8,176
413,119,8,-8,176
421,111,8,-8,176
429,103,8,-8,176
437,95,8,-8,176
445,87,8,-8,176
453,79,8,-8,176
461,71,8,-8,176
469,63,8,-8,176
477,55,8,-8,176
485,47,8,-8,176
493,39,8,-8,176
501,31,8,-8,176
509,23,8,-8,176
517,31,8,8,176
525,39,8,8,176
533,47,8,8,176
541,55,8,8,176
549,63,8,8,176
557,71,8,8,176
565,79,8,8,176
573,87,8,8,176
581,95,8,8,176
589,103,8,8,176
597,111,8,8,176
605,119,8,8,176
613,127,8,8,176
621,135,8,8,176
629,143,8,8,176
637,151,8,8,176
645,159,8,8,176
653,167,8,8,176
661,175,8,8,176
